"filename", "language", "JavaScript", "CSS", "JavaScript React", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\components\ContentContainer\groupChatContainer.jsx", "JavaScript React", 0, 0, 244, 0, 0, 0, 0, 13, 30, 287
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\components\ContentContainer\groupchat.css", "CSS", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\components\ContentContainer\index.jsx", "JavaScript React", 0, 0, 23, 0, 0, 0, 0, 1, 3, 27
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\components\ContentContainer\sheetsContainer.jsx", "JavaScript React", 0, 0, 44, 0, 0, 0, 0, 0, 8, 52
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\components\ContentContainer\zoomContainer.jsx", "JavaScript React", 0, 0, 124, 0, 0, 0, 0, 3, 13, 140
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\components\SideBar\index.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 0, 1, 12, 52
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\components\TopNavigation\index.jsx", "JavaScript React", 0, 0, 112, 0, 0, 0, 0, 0, 14, 126
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\home.css", "CSS", 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\home_screen.jsx", "JavaScript React", 0, 0, 84, 0, 0, 0, 0, 1, 32, 117
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\home_screen\hooks\useDarkMode.jsx", "JavaScript React", 0, 0, 33, 0, 0, 0, 0, 0, 10, 43
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\index.css", "CSS", 0, 262, 0, 0, 0, 0, 0, 0, 50, 312
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
